published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-17T14:40:53.322596,23 hours ago,Fox News AI Newsletter: Teacher's tech tell-all goes viral,2025-05-18T13:40:53.321618,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.foxnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T19:40:53.323603,18 hours ago,Brad Carson reflects on legacy at TU and looks ahead to AI leadership role in Washington,2025-05-18T13:40:53.322596,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.newson6.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.324597,3 days ago,Amazon and Nvidia are going all in on healthcare AI. Here's why.,2025-05-18T13:40:53.323603,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Anthropic Snags $2.5 Billion Credit Line as AI Demand Rises,2025-05-18T13:40:53.326388,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.pymnts.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,"Google is readying its AI Mode search tool for primetime, whether you like it or not",2025-05-18T13:40:53.327388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://mashable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T14:40:53.330552,23 hours ago,The Oregonian Is Using AI to Draft Stories,2025-05-18T13:40:53.329563,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.wweek.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.331611,2 days ago,"OpenAI launches Codex, an AI coding agent, in ChatGPT",2025-05-18T13:40:53.330552,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://techcrunch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T09:40:53.332585,4 hours ago,A100x Launches $50 Million Fund for AI and Blockchain Startups,2025-05-18T13:40:53.331611,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.binance.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.333598,3 days ago,AI’s Spontaneously Develop Social Norms Like Humans,2025-05-18T13:40:53.332585,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://neurosciencenews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:40:53.335388,5 days ago,Noncoders are using AI to prompt their ideas into reality. They call it 'vibe coding.',2025-05-18T13:40:53.333598,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.336432,4 days ago,Trump administration's next wave of China AI chip export rules are yet another obstacle for Nvidia,2025-05-18T13:40:53.336432,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.337414,2 days ago,"CoreWeave pops almost 60% this week on AI growth momentum, big Nvidia stake",2025-05-18T13:40:53.337414,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T04:40:53.339530,9 hours ago,News Corp introduces mandatory AI 'bootcamps' for journalists,2025-05-18T13:40:53.338632,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.capitalbrief.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.340608,3 days ago,Elon Musk's AI chatbot Grok brings up South African 'white genocide' claims in responses to unrelated questions,2025-05-18T13:40:53.339530,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.341597,2 days ago,Air Force launches AI Center of Excellence to speed up AI adoption,2025-05-18T13:40:53.340608,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://federalnewsnetwork.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.342585,2 days ago,Nvidia stock notches 16% weekly gain as trade news boosts AI chipmaker,2025-05-18T13:40:53.341597,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:40:53.343388,5 days ago,DeepSeek’s ‘Tech Madman’ Founder Is Threatening US Dominance in AI Race,2025-05-18T13:40:53.342585,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.345386,2 days ago,"UK needs more nuclear to power AI, says Amazon Web Services boss",2025-05-18T13:40:53.344388,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:40:53.346406,22 hours ago,Trump wants coal to power AI data centers. The tech industry may need to make peace with that for now,2025-05-18T13:40:53.346406,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.347399,4 days ago,Judge slams lawyers for ‘bogus AI-generated research’,2025-05-18T13:40:53.347399,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.theverge.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.349578,2 days ago,"From Google to Expedia, AI travel agents planning future trip far beyond 'assistant' status",2025-05-18T13:40:53.348642,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T09:40:53.350597,4 hours ago,‘World champion of appropriation’ Grayson Perry says he isn’t bothered by AI using his work,2025-05-18T13:40:53.349578,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:40:53.351585,5 days ago,AWS and HUMAIN announce a more than $5B investment to accelerate AI adoption in Saudi Arabia and globally,2025-05-18T13:40:53.350597,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aboutamazon.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Workshop aims to help Owensboro small businesses embrace AI for content creation,2025-05-18T13:40:53.351585,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.owensborotimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.353591,3 days ago,The Arm Evolution: From IP to Platform for the AI Era,2025-05-18T13:40:53.352599,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://newsroom.arm.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.355395,2 days ago,New agentic AI tools bring new threat: agent sprawl,2025-05-18T13:40:53.353591,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cio.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Walmart Prepares for a Future Where AI Shops for Consumers,2025-05-18T13:40:53.355395,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.pymnts.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.357387,4 days ago,YouTube announces Gemini AI feature to target ads when viewers are most engaged,2025-05-18T13:40:53.357387,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.359388,3 days ago,AI firm Cohere doubles annualized revenue to $100 million on enterprise focus,2025-05-18T13:40:53.358387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
